"Survey"	"Date"	"Station"	"Temp"	"Top EC"	"Bottom EC"	"Secchi"	"Turbidity"	"Latitude"	"Longitude"	"Comments"
4	6/5/1995 0:00:00	918	18.90	145	143	50				
4	6/5/1995 0:00:00	919	17.60	66	67	108				
4	6/6/1995 0:00:00	705	18.30	109		85				
4	6/6/1995 0:00:00	707	17.00	109		60				
4	6/6/1995 0:00:00	711	17.60	99		56				
4	6/6/1995 0:00:00	716	18.40	215		32				
4	6/6/1995 0:00:00	812	18.30	121		93				
4	6/6/1995 0:00:00	815	17.90	123		81				
4	6/6/1995 0:00:00	906	18.20	143		68				
4	6/6/1995 0:00:00	910	17.40	142	140	56				
4	6/6/1995 0:00:00	912	16.60	141	145	52				
4	6/7/1995 0:00:00	508	18.30	120	121	65				
4	6/7/1995 0:00:00	513	18.30	120	121	66				
4	6/7/1995 0:00:00	520	19.70	125	126	74				
4	6/7/1995 0:00:00	703	16.70	118	118	42				
4	6/7/1995 0:00:00	704	16.30	109	108	62				
4	6/7/1995 0:00:00	706	16.20	119	117	72				
4	6/7/1995 0:00:00	801	18.60	116	118	70				
4	6/7/1995 0:00:00	804	17.90	137	138	72				
4	6/8/1995 0:00:00	405	20.90	2910	9680	41				
4	6/8/1995 0:00:00	418	20.30	2290	8840	32				
4	6/8/1995 0:00:00	602	19.30	125	141	46				
4	6/8/1995 0:00:00	606	20.60	509	506	23				
4	6/8/1995 0:00:00	609	18.20	303	297	32				
4	6/8/1995 0:00:00	610	16.90	162	161	32				
4	6/8/1995 0:00:00	802	17.20	151	150	62				
4	6/9/1995 0:00:00	323	15.50	15790	19060	29				
4	6/9/1995 0:00:00	340	16.20	12650	12430	42				
5	6/19/1995 0:00:00	809	18.00			78				
5	6/20/1995 0:00:00	902	19.60	164	180	57				
5	6/20/1995 0:00:00	912	18.60	225		48				
5	6/20/1995 0:00:00	914	20.70	183		78				
5	6/20/1995 0:00:00	915	21.90	203	214	49				
5	6/20/1995 0:00:00	918	20.10	234	229	42				
5	6/21/1995 0:00:00	802	23.20	132	129	99				
5	6/21/1995 0:00:00	804	21.40	129	129	68				
5	6/21/1995 0:00:00	812	19.40	118	124	89				
5	6/21/1995 0:00:00	815	18.70	123	129	106				
5	6/21/1995 0:00:00	906	18.30	199	204	63				
5	6/21/1995 0:00:00	910	18.00	229	240	49				
5	6/21/1995 0:00:00	919	18.30	73	76	114				
5	6/22/1995 0:00:00	513	19.10	125	124	73				
5	6/22/1995 0:00:00	703	19.60	123	121	84				
5	6/22/1995 0:00:00	704	18.90	133	139	64				
5	6/22/1995 0:00:00	705	20.40	119	112	74				
5	6/22/1995 0:00:00	706	18.50	122	113	60				
