"FishCode"	"CommonName"	"GenusSpecies"	"Family"	"Type"	"NatInv"	"FishInv"
"PXANTU"	"Xantus swimming crab"	"Portunus xantusii"			"Native"	"Invert"
"RHARRI"	"Harris mud crab"	"Rhithropanopeus harrisii"			"Native"	"Invert"
"JELLYF"	"Jelly fish"				"Unknown"	"Invert"
"RIDGEM"	"Ridge mussel"				"Invasive"	"Invert"
"CRANFR"	"Grass shrimp"	"Crangon franciscorum"			"Native"	"Invert"
"CRANSP"	"Grass shrimp"	"Crangon sp."			"Native"	"Invert"
"CRANNM"	"Blackspot shrimp"	"Crangon nigromaculata"			"Native"	"Invert"
"EXOPAL"	"Siberian prawn"	"Exopalaemon modestus"			"Invasive"	"Invert"
"HEPSTI"	"Stempson coastal shrimp"	"Heptacarpus stempsoni"			"Native"	"Invert"
"LSTYLI"	"Smooth bayshrimp"	"Lissocrangon styloristris"			"Native"	"Invert"
"PALAEM"	"Oriental shrimp"	"Paleomon macrodactylus"			"Invasive"	"Invert"
"SNAILS"	"Snail"	"spp."			"Unknown"	"Invert"
"TUNICA"	"Tunicates"	"many sp."			"Unknown"	"Invert"
"POLYCH"	"worms"	"many sp."			"Unknown"	"Invert"
"SPONGE"	"Sponge"	"many sp."			"Unknown"	"Invert"
"MCALIF"	"California Mussel"	"Mytilus californianus"			"Native"	"Invert"
"IOBSOL"	"Eastern Mudsnail"	"Illyanasa obsoleta"			"Invasive"	"Invert"
"UCINER"	"Atlantic Oyster Drill"	"Urosalpinx cinerea"			"Invasive"	"Invert"
"OLURID"	"Olympia oyster"	"Ostrea lurida"			"Native"	"Invert"
"CRANNC"	"Blacktail shrimp"	"Crangon nigricauda"			"Native"	"Invert"
